id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_nakesmas,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,156,ORANG,2016
2,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,62,ORANG,2016
3,32,JAWA BARAT,3203,KABUPATEN CIANJUR,19,ORANG,2016
4,32,JAWA BARAT,3204,KABUPATEN BANDUNG,9,ORANG,2016
5,32,JAWA BARAT,3205,KABUPATEN GARUT,53,ORANG,2016
6,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,13,ORANG,2016
7,32,JAWA BARAT,3207,KABUPATEN CIAMIS,24,ORANG,2016
8,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,25,ORANG,2016
9,32,JAWA BARAT,3209,KABUPATEN CIREBON,58,ORANG,2016
10,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,40,ORANG,2016
11,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,41,ORANG,2016
12,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,62,ORANG,2016
13,32,JAWA BARAT,3213,KABUPATEN SUBANG,38,ORANG,2016
14,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,15,ORANG,2016
15,32,JAWA BARAT,3215,KABUPATEN KARAWANG,44,ORANG,2016
16,32,JAWA BARAT,3216,KABUPATEN BEKASI,43,ORANG,2016
17,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,23,ORANG,2016
18,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,11,ORANG,2016
19,32,JAWA BARAT,3271,KOTA BOGOR,136,ORANG,2016
20,32,JAWA BARAT,3272,KOTA SUKABUMI,25,ORANG,2016
21,32,JAWA BARAT,3273,KOTA BANDUNG,85,ORANG,2016
22,32,JAWA BARAT,3274,KOTA CIREBON,29,ORANG,2016
23,32,JAWA BARAT,3275,KOTA BEKASI,42,ORANG,2016
24,32,JAWA BARAT,3276,KOTA DEPOK,65,ORANG,2016
25,32,JAWA BARAT,3277,KOTA CIMAHI,13,ORANG,2016
26,32,JAWA BARAT,3278,KOTA TASIKMALAYA,32,ORANG,2016
27,32,JAWA BARAT,3279,KOTA BANJAR,37,ORANG,2016
28,32,JAWA BARAT,3201,KABUPATEN BOGOR,176,ORANG,2017
29,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,68,ORANG,2017
30,32,JAWA BARAT,3203,KABUPATEN CIANJUR,10,ORANG,2017
31,32,JAWA BARAT,3204,KABUPATEN BANDUNG,50,ORANG,2017
32,32,JAWA BARAT,3205,KABUPATEN GARUT,68,ORANG,2017
33,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,12,ORANG,2017
34,32,JAWA BARAT,3207,KABUPATEN CIAMIS,46,ORANG,2017
35,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,50,ORANG,2017
36,32,JAWA BARAT,3209,KABUPATEN CIREBON,75,ORANG,2017
37,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,40,ORANG,2017
38,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,29,ORANG,2017
39,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,26,ORANG,2017
40,32,JAWA BARAT,3213,KABUPATEN SUBANG,64,ORANG,2017
41,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,15,ORANG,2017
42,32,JAWA BARAT,3215,KABUPATEN KARAWANG,78,ORANG,2017
43,32,JAWA BARAT,3216,KABUPATEN BEKASI,60,ORANG,2017
44,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,28,ORANG,2017
45,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,3,ORANG,2017
46,32,JAWA BARAT,3271,KOTA BOGOR,82,ORANG,2017
47,32,JAWA BARAT,3272,KOTA SUKABUMI,37,ORANG,2017
48,32,JAWA BARAT,3273,KOTA BANDUNG,178,ORANG,2017
49,32,JAWA BARAT,3274,KOTA CIREBON,15,ORANG,2017
50,32,JAWA BARAT,3275,KOTA BEKASI,11,ORANG,2017
51,32,JAWA BARAT,3276,KOTA DEPOK,6,ORANG,2017
52,32,JAWA BARAT,3277,KOTA CIMAHI,17,ORANG,2017
53,32,JAWA BARAT,3278,KOTA TASIKMALAYA,0,ORANG,2017
54,32,JAWA BARAT,3279,KOTA BANJAR,52,ORANG,2017
55,32,JAWA BARAT,3201,KABUPATEN BOGOR,225,ORANG,2018
56,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,85,ORANG,2018
57,32,JAWA BARAT,3203,KABUPATEN CIANJUR,8,ORANG,2018
58,32,JAWA BARAT,3204,KABUPATEN BANDUNG,39,ORANG,2018
59,32,JAWA BARAT,3205,KABUPATEN GARUT,67,ORANG,2018
60,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,3,ORANG,2018
61,32,JAWA BARAT,3207,KABUPATEN CIAMIS,45,ORANG,2018
62,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,44,ORANG,2018
63,32,JAWA BARAT,3209,KABUPATEN CIREBON,122,ORANG,2018
64,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,46,ORANG,2018
65,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,64,ORANG,2018
66,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,24,ORANG,2018
67,32,JAWA BARAT,3213,KABUPATEN SUBANG,46,ORANG,2018
68,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,35,ORANG,2018
69,32,JAWA BARAT,3215,KABUPATEN KARAWANG,80,ORANG,2018
70,32,JAWA BARAT,3216,KABUPATEN BEKASI,63,ORANG,2018
71,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,86,ORANG,2018
72,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,37,ORANG,2018
73,32,JAWA BARAT,3271,KOTA BOGOR,82,ORANG,2018
74,32,JAWA BARAT,3272,KOTA SUKABUMI,40,ORANG,2018
75,32,JAWA BARAT,3273,KOTA BANDUNG,176,ORANG,2018
76,32,JAWA BARAT,3274,KOTA CIREBON,0,ORANG,2018
77,32,JAWA BARAT,3275,KOTA BEKASI,7,ORANG,2018
78,32,JAWA BARAT,3276,KOTA DEPOK,55,ORANG,2018
79,32,JAWA BARAT,3277,KOTA CIMAHI,20,ORANG,2018
80,32,JAWA BARAT,3278,KOTA TASIKMALAYA,11,ORANG,2018
81,32,JAWA BARAT,3279,KOTA BANJAR,32,ORANG,2018
82,32,JAWA BARAT,3201,KABUPATEN BOGOR,216,ORANG,2019
83,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,92,ORANG,2019
84,32,JAWA BARAT,3203,KABUPATEN CIANJUR,94,ORANG,2019
85,32,JAWA BARAT,3204,KABUPATEN BANDUNG,108,ORANG,2019
86,32,JAWA BARAT,3205,KABUPATEN GARUT,95,ORANG,2019
87,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,73,ORANG,2019
88,32,JAWA BARAT,3207,KABUPATEN CIAMIS,82,ORANG,2019
89,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,62,ORANG,2019
90,32,JAWA BARAT,3209,KABUPATEN CIREBON,105,ORANG,2019
91,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,45,ORANG,2019
92,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,65,ORANG,2019
93,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,154,ORANG,2019
94,32,JAWA BARAT,3213,KABUPATEN SUBANG,61,ORANG,2019
95,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,16,ORANG,2019
96,32,JAWA BARAT,3215,KABUPATEN KARAWANG,46,ORANG,2019
97,32,JAWA BARAT,3216,KABUPATEN BEKASI,22,ORANG,2019
98,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,90,ORANG,2019
99,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,46,ORANG,2019
100,32,JAWA BARAT,3271,KOTA BOGOR,99,ORANG,2019
101,32,JAWA BARAT,3272,KOTA SUKABUMI,31,ORANG,2019
102,32,JAWA BARAT,3273,KOTA BANDUNG,175,ORANG,2019
103,32,JAWA BARAT,3274,KOTA CIREBON,37,ORANG,2019
104,32,JAWA BARAT,3275,KOTA BEKASI,105,ORANG,2019
105,32,JAWA BARAT,3276,KOTA DEPOK,65,ORANG,2019
106,32,JAWA BARAT,3277,KOTA CIMAHI,78,ORANG,2019
107,32,JAWA BARAT,3278,KOTA TASIKMALAYA,20,ORANG,2019
108,32,JAWA BARAT,3279,KOTA BANJAR,17,ORANG,2019
109,32,JAWA BARAT,3201,KABUPATEN BOGOR,265,ORANG,2020
110,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,51,ORANG,2020
111,32,JAWA BARAT,3203,KABUPATEN CIANJUR,66,ORANG,2020
112,32,JAWA BARAT,3204,KABUPATEN BANDUNG,120,ORANG,2020
113,32,JAWA BARAT,3205,KABUPATEN GARUT,78,ORANG,2020
114,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,41,ORANG,2020
115,32,JAWA BARAT,3207,KABUPATEN CIAMIS,80,ORANG,2020
116,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,86,ORANG,2020
117,32,JAWA BARAT,3209,KABUPATEN CIREBON,127,ORANG,2020
118,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,37,ORANG,2020
119,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,76,ORANG,2020
120,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,122,ORANG,2020
121,32,JAWA BARAT,3213,KABUPATEN SUBANG,55,ORANG,2020
122,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,14,ORANG,2020
123,32,JAWA BARAT,3215,KABUPATEN KARAWANG,71,ORANG,2020
124,32,JAWA BARAT,3216,KABUPATEN BEKASI,71,ORANG,2020
125,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,84,ORANG,2020
126,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,41,ORANG,2020
127,32,JAWA BARAT,3271,KOTA BOGOR,95,ORANG,2020
128,32,JAWA BARAT,3272,KOTA SUKABUMI,35,ORANG,2020
129,32,JAWA BARAT,3273,KOTA BANDUNG,166,ORANG,2020
130,32,JAWA BARAT,3274,KOTA CIREBON,35,ORANG,2020
131,32,JAWA BARAT,3275,KOTA BEKASI,100,ORANG,2020
132,32,JAWA BARAT,3276,KOTA DEPOK,82,ORANG,2020
133,32,JAWA BARAT,3277,KOTA CIMAHI,22,ORANG,2020
134,32,JAWA BARAT,3278,KOTA TASIKMALAYA,45,ORANG,2020
135,32,JAWA BARAT,3279,KOTA BANJAR,18,ORANG,2020
136,32,JAWA BARAT,3201,KABUPATEN BOGOR,291,ORANG,2021
137,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,74,ORANG,2021
138,32,JAWA BARAT,3203,KABUPATEN CIANJUR,66,ORANG,2021
139,32,JAWA BARAT,3204,KABUPATEN BANDUNG,135,ORANG,2021
140,32,JAWA BARAT,3205,KABUPATEN GARUT,134,ORANG,2021
141,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,1,ORANG,2021
142,32,JAWA BARAT,3207,KABUPATEN CIAMIS,105,ORANG,2021
143,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,86,ORANG,2021
144,32,JAWA BARAT,3209,KABUPATEN CIREBON,97,ORANG,2021
145,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,40,ORANG,2021
146,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,86,ORANG,2021
147,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,102,ORANG,2021
148,32,JAWA BARAT,3213,KABUPATEN SUBANG,66,ORANG,2021
149,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,14,ORANG,2021
150,32,JAWA BARAT,3215,KABUPATEN KARAWANG,44,ORANG,2021
151,32,JAWA BARAT,3216,KABUPATEN BEKASI,77,ORANG,2021
152,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,50,ORANG,2021
153,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,47,ORANG,2021
154,32,JAWA BARAT,3271,KOTA BOGOR,70,ORANG,2021
155,32,JAWA BARAT,3272,KOTA SUKABUMI,29,ORANG,2021
156,32,JAWA BARAT,3273,KOTA BANDUNG,192,ORANG,2021
157,32,JAWA BARAT,3274,KOTA CIREBON,34,ORANG,2021
158,32,JAWA BARAT,3275,KOTA BEKASI,115,ORANG,2021
159,32,JAWA BARAT,3276,KOTA DEPOK,120,ORANG,2021
160,32,JAWA BARAT,3277,KOTA CIMAHI,45,ORANG,2021
161,32,JAWA BARAT,3278,KOTA TASIKMALAYA,58,ORANG,2021
162,32,JAWA BARAT,3279,KOTA BANJAR,39,ORANG,2021
